2026-01-17 18:34:18,850 | INFO | interrupt-agent | FINAL_TRANSCRIPT: 'Hide.'
2026-01-17 18:34:18,850 | INFO | interrupt-agent | Backchannel ignored (agent continues)
2026-01-17 18:34:19,366 | INFO | interrupt-agent | START_OF_SPEECH ignored (agent speaking)
2026-01-17 18:34:22,778 | INFO | interrupt-agent | FINAL_TRANSCRIPT: 'Halt? Uh-huh. Come on. Come on, Jara.'
2026-01-17 18:34:22,778 | INFO | interrupt-agent | Backchannel ignored (agent continues)
2026-01-17 18:34:24,660 | INFO | interrupt-agent | START_OF_SPEECH ignored (agent speaking)
2026-01-17 18:34:27,799 | INFO | interrupt-agent | FINAL_TRANSCRIPT: 'Halt. Halt.'
2026-01-17 18:34:27,799 | INFO | interrupt-agent | Backchannel ignored (agent continues)
2026-01-17 18:34:28,062 | INFO | interrupt-agent | START_OF_SPEECH ignored (agent speaking)
2026-01-17 18:34:30,317 | INFO | interrupt-agent | FINAL_TRANSCRIPT: 'Uh-huh.'
2026-01-17 18:34:30,317 | INFO | interrupt-agent | Backchannel ignored (agent continues)
2026-01-17 18:34:34,579 | INFO | interrupt-agent | START_OF_SPEECH ignored (agent speaking)
2026-01-17 18:34:35,857 | INFO | interrupt-agent | START_OF_SPEECH ignored (agent speaking)
2026-01-17 18:34:37,220 | INFO | interrupt-agent | START_OF_SPEECH ignored (agent speaking)
2026-01-17 18:34:38,807 | INFO | interrupt-agent | START_OF_SPEECH ignored (agent speaking)
2026-01-17 18:34:39,657 | INFO | interrupt-agent | START_OF_SPEECH ignored (agent speaking)
2026-01-17 18:34:42,120 | INFO | interrupt-agent | START_OF_SPEECH ignored (agent speaking)
2026-01-17 18:34:44,355 | INFO | interrupt-agent | START_OF_SPEECH ignored (agent speaking)
2026-01-17 18:34:44,735 | INFO | interrupt-agent | START_OF_SPEECH ignored (agent speaking)
2026-01-17 18:34:48,975 | INFO | interrupt-agent | START_OF_SPEECH ignored (agent speaking)
2026-01-17 18:34:49,732 | INFO | interrupt-agent | START_OF_SPEECH ignored (agent speaking)
2026-01-17 18:34:52,673 | INFO | interrupt-agent | START_OF_SPEECH ignored (agent speaking)
2026-01-17 18:34:54,662 | INFO | interrupt-agent | START_OF_SPEECH ignored (agent speaking)
2026-01-17 18:34:56,699 | INFO | interrupt-agent | START_OF_SPEECH ignored (agent speaking)
2026-01-17 18:34:59,714 | INFO | interrupt-agent | START_OF_SPEECH ignored (agent speaking)
2026-01-17 18:35:01,969 | INFO | interrupt-agent | START_OF_SPEECH ignored (agent speaking)
2026-01-17 18:35:04,269 | INFO | interrupt-agent | START_OF_SPEECH ignored (agent speaking)
2026-01-17 18:35:05,834 | INFO | interrupt-agent | START_OF_SPEECH ignored (agent speaking)
2026-01-17 18:35:10,595 | INFO | interrupt-agent | START_OF_SPEECH ignored (agent speaking)
2026-01-17 18:35:10,595 | INFO | interrupt-agent | START_OF_SPEECH ignored (agent speaking)
2026-01-17 18:35:15,962 | INFO | interrupt-agent | START_OF_SPEECH ignored (agent speaking)
2026-01-17 18:35:16,690 | INFO | interrupt-agent | START_OF_SPEECH ignored (agent speaking)
2026-01-17 18:35:17,265 | INFO | interrupt-agent | START_OF_SPEECH ignored (agent speaking)
2026-01-17 18:35:21,648 | INFO | interrupt-agent | START_OF_SPEECH ignored (agent speaking)
2026-01-17 18:35:24,101 | INFO | interrupt-agent | START_OF_SPEECH ignored (agent speaking)
2026-01-17 18:35:25,025 | INFO | interrupt-agent | FINAL_TRANSCRIPT: 'Chicken.'
2026-01-17 18:35:25,025 | INFO | interrupt-agent | Backchannel ignored (agent continues)
2026-01-17 18:35:28,972 | INFO | interrupt-agent | START_OF_SPEECH ignored (agent speaking)
2026-01-17 18:35:30,439 | INFO | interrupt-agent | START_OF_SPEECH ignored (agent speaking)
2026-01-17 18:35:36,369 | INFO | interrupt-agent | START_OF_SPEECH ignored (agent speaking)
2026-01-17 18:35:37,450 | INFO | interrupt-agent | START_OF_SPEECH ignored (agent speaking)
2026-01-17 18:35:38,960 | INFO | interrupt-agent | START_OF_SPEECH ignored (agent speaking)
2026-01-17 18:35:40,682 | INFO | interrupt-agent | START_OF_SPEECH ignored (agent speaking)
2026-01-17 18:35:41,881 | INFO | interrupt-agent | FINAL_TRANSCRIPT: 'Stop.'
2026-01-17 18:35:41,882 | INFO | interrupt-agent | 🛑 INTERRUPT detected — stopping agent
2026-01-17 18:35:41,882 | INFO | interrupt-agent | Agent speaking: 'Okay, stopping.'
2026-01-17 18:35:44,751 | INFO | interrupt-agent | START_OF_SPEECH ignored (agent speaking)
2026-01-17 18:35:46,387 | INFO | interrupt-agent | START_OF_SPEECH ignored (agent speaking)
2026-01-17 18:35:49,125 | INFO | interrupt-agent | START_OF_SPEECH ignored (agent speaking)
2026-01-17 18:35:52,365 | INFO | interrupt-agent | START_OF_SPEECH ignored (agent speaking)
2026-01-17 18:35:55,726 | INFO | interrupt-agent | FINAL_TRANSCRIPT: 'Rumjab, hi.'
2026-01-17 18:35:55,726 | INFO | interrupt-agent | Backchannel ignored (agent continues)
2026-01-17 18:35:56,622 | INFO | interrupt-agent | START_OF_SPEECH ignored (agent speaking)
2026-01-17 18:35:58,130 | INFO | interrupt-agent | FINAL_TRANSCRIPT: 'Stop.'
2026-01-17 18:35:58,130 | INFO | interrupt-agent | 🛑 INTERRUPT detected — stopping agent
2026-01-17 18:35:58,131 | INFO | interrupt-agent | Agent speaking: 'Okay, stopping.'
2026-01-17 18:36:02,582 | INFO | interrupt-agent | START_OF_SPEECH ignored (agent speaking)
2026-01-17 18:36:03,212 | INFO | interrupt-agent | START_OF_SPEECH ignored (agent speaking)
2026-01-17 18:36:07,090 | INFO | interrupt-agent | FINAL_TRANSCRIPT: 'Hold on.'
2026-01-17 18:36:07,090 | INFO | interrupt-agent | 🛑 INTERRUPT detected — stopping agent
2026-01-17 18:36:07,091 | INFO | interrupt-agent | Agent speaking: 'Okay, stopping.'
2026-01-17 18:36:07,154 | INFO | interrupt-agent | START_OF_SPEECH ignored (agent speaking)
2026-01-17 18:36:08,515 | INFO | interrupt-agent | START_OF_SPEECH ignored (agent speaking)
2026-01-17 18:36:10,493 | INFO | interrupt-agent | START_OF_SPEECH ignored (agent speaking)
2026-01-17 18:36:11,066 | INFO | interrupt-agent | START_OF_SPEECH ignored (agent speaking)
2026-01-17 18:36:11,455 | INFO | interrupt-agent | START_OF_SPEECH ignored (agent speaking)
2026-01-17 18:36:14,050 | INFO | interrupt-agent | START_OF_SPEECH ignored (agent speaking)
2026-01-17 18:36:14,050 | INFO | interrupt-agent | START_OF_SPEECH ignored (agent speaking)
2026-01-17 18:36:16,163 | INFO | interrupt-agent | START_OF_SPEECH ignored (agent speaking)
2026-01-17 18:36:18,429 | INFO | interrupt-agent | START_OF_SPEECH ignored (agent speaking)
2026-01-17 18:36:19,385 | INFO | interrupt-agent | FINAL_TRANSCRIPT: 'Hi.'
2026-01-17 18:36:19,385 | INFO | interrupt-agent | Backchannel ignored (agent continues)
2026-01-17 18:36:19,694 | INFO | interrupt-agent | START_OF_SPEECH ignored (agent speaking)
2026-01-17 18:36:22,621 | INFO | interrupt-agent | START_OF_SPEECH ignored (agent speaking)
2026-01-17 18:36:24,820 | INFO | interrupt-agent | START_OF_SPEECH ignored (agent speaking)
2026-01-17 18:36:26,984 | INFO | interrupt-agent | START_OF_SPEECH ignored (agent speaking)
